    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.18s
     Running unittests src\lib.rs (C:\Users\bajra\.codex-target\nbsr-p1f\debug\deps\nbsr_transport-e554f6a20969ada2.exe)
P1F_SOAK elapsed_ms=267000 attempts=9368098 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=268000 attempts=9403657 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=269000 attempts=9438869 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=270000 attempts=9474357 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=271000 attempts=9509471 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=272000 attempts=9544475 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=273000 attempts=9580185 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=274000 attempts=9615492 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=275000 attempts=9650878 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=276000 attempts=9686396 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=277000 attempts=9721838 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=278000 attempts=9756801 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=279000 attempts=9792156 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=280000 attempts=9827428 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=281000 attempts=9862953 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=282000 attempts=9898181 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=283000 attempts=9933342 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=284000 attempts=9968669 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=285000 attempts=10003593 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=286000 attempts=10039715 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=287000 attempts=10074775 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=288000 attempts=10110114 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=289000 attempts=10145580 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=290000 attempts=10180453 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=291000 attempts=10215345 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=292000 attempts=10250664 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=293000 attempts=10285558 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=294000 attempts=10320641 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=295000 attempts=10356153 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=296000 attempts=10391633 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=297000 attempts=10427097 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=298000 attempts=10462671 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=299000 attempts=10497817 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=300000 attempts=10533055 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=301000 attempts=10568643 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=302000 attempts=10603796 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=303000 attempts=10639327 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=304000 attempts=10674542 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=305000 attempts=10710003 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=306000 attempts=10745234 entries=10000 capacity=14336
